rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl
500.0,500.0,849,157696,185,77,-0.002344267007720191,0.03994140625,7.202107894954679e-07,-0.0015367083251476288,0.2,-0.26668339376337824,-14.906763076782227,760,0.0003,0.0034232507
500.0,500.0,847,159744,188,78,-0.0004501916962908581,0.020703125,4.0252413668895315e-07,0.006290076766163111,0.2,-0.257793936226517,-9.978233337402344,770,0.0003,0.0013581729
500.0,500.0,845,161792,191,79,-0.0008115469536278397,0.0134765625,2.411353008540118e-05,-0.0011507578892633319,0.2,-0.24107993072830142,-10.852140426635742,780,0.0003,0.00149465
500.0,500.0,843,163840,194,80,-0.0027003518131095915,0.046240234375,1.471296712907133e-06,-0.00766721460968256,0.2,-0.2502359620295465,-6.664348125457764,790,0.0003,0.0027521031
500.0,500.0,842,165888,196,81,-0.001927497180440696,0.0353515625,2.9339578588860604e-07,0.009164425544440746,0.2,-0.25451655872166157,-8.357600212097168,800,0.0003,0.0032553186
500.0,500.0,840,167936,199,82,0.0008660765292006545,0.026123046875,3.6877431739412716e-07,-0.004958545323461294,0.2,-0.2592241025529802,-9.294731140136719,810,0.0003,0.002482391
500.0,500.0,839,169984,202,83,0.0001893799999379553,0.025634765625,2.160087706215563e-06,0.0028079759795218706,0.2,-0.24403604734688997,-9.092948913574219,820,0.0003,0.003166244
500.0,500.0,837,172032,205,84,0.0008101220017124433,0.011767578125,3.763465453516801e-05,0.001055211410857737,0.2,-0.24375800327397884,-6.7326884269714355,830,0.0003,0.0017962835
500.0,500.0,835,174080,208,85,-0.006088079324399587,0.0814453125,2.1893720258958638e-07,-0.029376879334449768,0.2,-0.2763871872331947,-9.253870964050293,840,0.0003,0.006834576
500.0,500.0,834,176128,211,86,-0.0016853929613716901,0.018603515625,3.5362828896268186e-07,-0.00422518327832222,0.2,-0.25419370518065987,-6.908841609954834,850,0.0003,0.0028232192
500.0,500.0,832,178176,213,87,0.00034480438625905663,0.012451171875,2.578823028898114e-07,-0.0006975695723667741,0.2,-0.25953669897280635,-9.118078231811523,860,0.0003,0.001581567
500.0,500.0,831,180224,216,88,-7.405114592984318e-06,0.0076171875,7.869103995972182e-07,0.004320687614381313,0.2,-0.2547865535598248,-8.6411771774292,870,0.0003,0.0013312923
500.0,500.0,830,182272,219,89,-0.001444223229191266,0.01669921875,4.172172228322779e-06,0.0008701187325641513,0.2,-0.24564686785452067,-10.264842987060547,880,0.0003,0.0015571439
500.0,500.0,829,184320,222,90,-0.0007379518618108704,0.0146484375,1.1421720387261303e-06,0.0016967842821031809,0.2,-0.23374024126678705,-5.788840293884277,890,0.0003,0.00091313274
500.0,500.0,827,186368,225,91,-0.0025048498646356165,0.06962890625,3.208661519522593e-05,-0.016044175252318382,0.2,-0.2575109925121069,-8.24296760559082,900,0.0003,0.0059820055
500.0,500.0,826,188416,227,92,-0.0003420285589527339,0.041357421875,7.036271293259233e-06,-0.01618458330631256,0.2,-0.24548518424853683,-14.5032958984375,910,0.0003,0.004700436
500.0,500.0,825,190464,230,93,-0.0012957755374372938,0.049658203125,1.5948114935326884e-07,0.0006229657446965575,0.2,-0.25958161246962846,-7.333859443664551,920,0.0003,0.005626603
500.0,500.0,824,192512,233,94,-1.3487503747455775e-05,0.01318359375,2.2646212869403825e-07,0.006253387313336134,0.2,-0.25524279116652904,-17.946069717407227,930,0.0003,0.0015831541
500.0,500.0,823,194560,236,95,-0.00037078822060720995,0.01494140625,4.282765598873084e-06,-0.01619011163711548,0.2,-0.2614191265311092,-24.764039993286133,940,0.0003,0.001619711
500.0,500.0,822,196608,239,96,-0.0038759088536608035,0.064306640625,2.325471598396689e-07,-0.014403393492102623,0.2,-0.28033960578031836,-19.810813903808594,950,0.0003,0.0024090274
500.0,500.0,821,198656,241,97,-0.0012970001742360182,0.0119140625,4.993422663801539e-07,-0.003548356471583247,0.2,-0.26917877811938523,-8.395904541015625,960,0.0003,0.0012048048
500.0,500.0,819,200704,244,98,-0.0006942365813301876,0.0162109375,7.290304409934834e-07,-0.005489890929311514,0.2,-0.24686641492880881,-12.739423751831055,970,0.0003,0.0011348901
