time/total_timesteps,train/learning_rate,time/time_elapsed,time/episodes,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss,time/fps,train/critic_loss
734400,0.0003,17854,3672,734299,-129.83123791999998,0.35019007325172424,0.02013745903968811,200.0,12.57429313659668,41,0.15433703362941742
735200,0.0003,17871,3676,735099,-127.53764507,0.5581263899803162,0.020864414051175117,200.0,13.154861450195312,41,0.5798094868659973
736000,0.0003,17888,3680,735899,-132.30019988,-0.4142356216907501,0.019594037905335426,200.0,11.72990894317627,41,0.18138904869556427
736800,0.0003,17905,3684,736699,-131.91889809999998,0.5663250684738159,0.01889917626976967,200.0,16.51824951171875,41,0.1637769639492035
737600,0.0003,17922,3688,737499,-131.25915677,0.1941499263048172,0.018593372777104378,200.0,9.025991439819336,41,0.17848408222198486
738400,0.0003,17939,3692,738299,-131.1835451,0.40168309211730957,0.01922854222357273,200.0,16.744977951049805,41,0.18700750172138214
739200,0.0003,17956,3696,739099,-130.20962355999998,-0.20490048825740814,0.019214313477277756,200.0,9.231022834777832,41,0.07353201508522034
740000,0.0003,17973,3700,739899,-130.18081616999999,-0.18698802590370178,0.019744180142879486,200.0,11.19871711730957,41,0.128724604845047
740800,0.0003,17990,3704,740699,-131.20684673,0.5897566676139832,0.020183449611067772,200.0,13.216498374938965,41,0.3542768955230713
741600,0.0003,18007,3708,741499,-129.88839458,0.4475378096103668,0.020940788090229034,200.0,18.97103500366211,41,0.5964446663856506
742400,0.0003,18024,3712,742299,-132.23752546999998,0.6991461515426636,0.01948176696896553,200.0,15.460500717163086,41,0.20450609922409058
743200,0.0003,18041,3716,743099,-134.66168079,0.13595736026763916,0.020818859338760376,200.0,12.52224349975586,41,0.11189016699790955
744000,0.0003,18058,3720,743899,-136.26954794999997,-0.07553055137395859,0.022362127900123596,200.0,13.653776168823242,41,0.11500956863164902
744800,0.0003,18075,3724,744699,-133.36912008,-0.27224767208099365,0.02180192433297634,200.0,10.350364685058594,41,0.20156246423721313
745600,0.0003,18092,3728,745499,-132.27994558999998,-0.09169778227806091,0.021238723769783974,200.0,12.408597946166992,41,0.1434575617313385
746400,0.0003,18109,3732,746299,-127.38451461999998,0.4444791078567505,0.021167313680052757,200.0,16.719635009765625,41,0.15693023800849915
747200,0.0003,18126,3736,747099,-129.13474435,-0.06324304640293121,0.022011520341038704,200.0,11.67111587524414,41,0.20288290083408356
748000,0.0003,18143,3740,747899,-130.08008317999997,-0.4960628151893616,0.02075416035950184,200.0,9.7622652053833,41,0.11310359090566635
748800,0.0003,18160,3744,748699,-130.32995283999998,-0.6024888753890991,0.020947594195604324,200.0,12.680559158325195,41,0.10641604661941528
749600,0.0003,18177,3748,749499,-134.22554033999998,-0.01811068505048752,0.021024422720074654,200.0,11.993525505065918,41,0.16974402964115143
750400,0.0003,18194,3752,750299,-134.31965729,-0.3052608072757721,0.020907573401927948,200.0,10.89867877960205,41,0.6777254343032837
751200,0.0003,18211,3756,751099,-136.27957788,0.08193112909793854,0.0216220710426569,200.0,13.056079864501953,41,0.41571611166000366
752000,0.0003,18228,3760,751899,-135.11587638999998,0.510450005531311,0.02125687524676323,200.0,12.011383056640625,41,0.2380843162536621
752800,0.0003,18245,3764,752699,-134.14116344,0.005714144557714462,0.020400645211338997,200.0,14.512560844421387,41,0.1590835154056549
753600,0.0003,18262,3768,753499,-131.92908728,0.3181890845298767,0.021975181996822357,200.0,13.9766206741333,41,0.1018272265791893
754400,0.0003,18279,3772,754299,-134.23059719,-0.18360772728919983,0.0212697871029377,200.0,12.593586921691895,41,0.47196680307388306
755200,0.0003,18296,3776,755099,-135.54680327000003,0.19682380557060242,0.021996820345520973,200.0,14.90766716003418,41,0.14434115588665009
756000,0.0003,18313,3780,755899,-132.69143598,-0.11245086789131165,0.020891139283776283,200.0,13.18789005279541,41,0.20163965225219727
756800,0.0003,18330,3784,756699,-133.02561658,-0.1564493626356125,0.021117527037858963,200.0,11.985475540161133,41,0.1752302646636963
757600,0.0003,18347,3788,757499,-135.28964634,-0.2972243130207062,0.019420722499489784,200.0,9.710591316223145,41,0.10805648565292358
758400,0.0003,18363,3792,758299,-138.82091785,-0.13851922750473022,0.021163856610655785,200.0,9.306775093078613,41,0.08040111511945724
759200,0.0003,18380,3796,759099,-140.95297213999999,0.008217796683311462,0.02078406885266304,200.0,12.084299087524414,41,0.11791034042835236
760000,0.0003,18397,3800,759899,-140.08542604000002,-0.17364946007728577,0.02120254375040531,200.0,13.453609466552734,41,0.12546762824058533
760800,0.0003,18414,3804,760699,-141.81653330999998,-0.28670865297317505,0.018932806327939034,200.0,13.944852828979492,41,0.278887540102005
761600,0.0003,18432,3808,761499,-141.85086407999998,0.39148104190826416,0.019683778285980225,200.0,12.5567626953125,41,0.07884037494659424
762400,0.0003,18449,3812,762299,-138.66866213,-0.13521769642829895,0.02043118327856064,200.0,11.763225555419922,41,0.4171183109283447
763200,0.0003,18466,3816,763099,-138.6522594,0.02477436140179634,0.020201848819851875,200.0,10.691059112548828,41,0.1261453479528427
764000,0.0003,18483,3820,763899,-137.95100087,0.13602283596992493,0.020609846338629723,200.0,13.004796981811523,41,0.11836594343185425
764800,0.0003,18500,3824,764699,-141.39171338999998,0.01022452861070633,0.020811915397644043,200.0,13.729095458984375,41,0.33620765805244446
765600,0.0003,18517,3828,765499,-143.60805696,-0.6151522397994995,0.02043713629245758,200.0,10.7581205368042,41,0.1984570324420929
766400,0.0003,18534,3832,766299,-145.94009653999998,-0.14444270730018616,0.019071200862526894,200.0,16.440628051757812,41,0.19233980774879456
767200,0.0003,18551,3836,767099,-146.34973708999996,0.41549426317214966,0.01976318471133709,200.0,11.103784561157227,41,0.18954524397850037
768000,0.0003,18568,3840,767899,-145.27909427,-0.0731336921453476,0.019511841237545013,200.0,13.264057159423828,41,1.0175235271453857
