time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
135,66,135168,999,-0.06373581128427759,-9.050356457009911e-05,0.00021370652,0.0003,0.0021484375,0.0009091421961784363,0.2,4.866648029633325e-06,-1.8363580703735352,650,-6053.166666666667,6053.166666666667
137,67,137216,999,-0.2530593606876209,-0.008042118290904909,0.023928285,0.0003,0.09794921875,-0.04411103203892708,0.2,1.0641767283914305e-05,-1.7300395965576172,660,-6053.166666666667,6053.166666666667
139,68,139264,999,-0.18501185001805426,-0.00019279236730653792,0.00032081513,0.0003,0.008740234375,-8.845031698001549e-05,0.2,3.99234673977844e-06,-2.171013832092285,670,-6053.166666666667,6053.166666666667
141,69,141312,999,-0.14571227561682462,-0.00048379877698607744,0.00071214617,0.0003,0.009326171875,-0.01055613812059164,0.2,2.052853790246445e-06,-2.2416632175445557,680,-6053.166666666667,6053.166666666667
143,70,143360,998,-0.16101491125300527,2.6258091384079308e-05,0.0004095409,0.0003,0.0072265625,-0.008207549341022968,0.2,2.971516769889604e-06,-2.067509889602661,690,-6053.166666666667,6053.166666666667
145,71,145408,998,-0.1337806303752586,-3.766264271689579e-05,0.00048140902,0.0003,0.004638671875,0.005192250944674015,0.2,2.0841357240897195e-06,-2.0819664001464844,700,-6053.166666666667,6053.166666666667
147,72,147456,998,-0.10979439478833228,-0.00019104536331724376,0.0002021195,0.0003,0.0037109375,0.001700779190286994,0.2,9.012863273483163e-07,-2.0762479305267334,710,-6053.166666666667,6053.166666666667
149,73,149504,998,-0.10815478332806379,0.00015245758659148122,0.00025170523,0.0003,0.006103515625,-0.000454176333732903,0.2,1.4712261986460362e-06,-1.9511747360229492,720,-6053.166666666667,6053.166666666667
151,74,151552,998,-0.09708829049486667,-0.0008498382812831551,0.0003695842,0.0003,0.004736328125,-0.0017097025411203504,0.2,1.8551742584804742e-06,-2.105536699295044,730,-6053.166666666667,6053.166666666667
153,75,153600,998,-0.0817069006152451,-0.00040404857863904906,0.00050808664,0.0003,0.00693359375,0.0008951108902692795,0.2,1.0071788977938923e-06,-1.8552920818328857,740,-6053.166666666667,6053.166666666667
155,76,155648,998,-0.07711924365721642,-0.0003957083696150221,0.00036761476,0.0003,0.005126953125,0.0014381948858499527,0.2,1.7217523492263353e-06,-1.9326012134552002,750,-6053.166666666667,6053.166666666667
157,77,157696,998,-0.11812076277565212,3.210386057617143e-05,0.001724247,0.0003,0.011962890625,0.005246879067271948,0.2,2.6407657088611813e-06,-1.8154675960540771,760,-6053.166666666667,6053.166666666667
159,78,159744,998,-0.10299185193143785,-0.00015172291314229368,0.00025112636,0.0003,0.0041015625,0.0038160462863743305,0.2,1.4621777978618412e-06,-2.047380208969116,770,-6053.166666666667,6053.166666666667
162,79,161792,998,-0.06987105590524152,-0.0008107971363642719,0.00040579535,0.0003,0.00771484375,0.0015992398839443922,0.2,6.591227474928019e-07,-1.9670515060424805,780,-6053.166666666667,6053.166666666667
164,80,163840,998,-0.05647132500307635,-0.0009369469800731168,0.00067156425,0.0003,0.007568359375,0.0006080974126234651,0.2,5.294423033319617e-07,-2.0752921104431152,790,-6053.166666666667,6053.166666666667
166,81,165888,998,-0.04944095155224204,-7.946766854729503e-05,6.980382e-05,0.0003,0.002197265625,-0.0032363394275307655,0.2,3.96360491095038e-07,-1.9607362747192383,800,-6053.166666666667,6053.166666666667
168,82,167936,998,-0.051476104685571046,-0.0004009338314062916,0.0001588832,0.0003,0.002587890625,-0.006277299020439386,0.2,7.498544931650031e-07,-1.9531261920928955,810,-6053.166666666667,6053.166666666667
