time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/std,train/n_updates,train/approx_kl,train/policy_gradient_loss
466944,200.0,1102,228,-169.04700128000002,423,0.0003,0.2,-0.3643429405987263,0.6762162359344075,0.17373046875,0.47671306133270264,0.9981515106046572,0.35271334648132324,2270,0.021990996,0.001582277158013312
468992,200.0,1101,229,-176.22314638000003,425,0.0003,0.2,-0.3672469459474087,2.594728646473959,0.075048828125,0.30295008420944214,0.9831018391996622,0.344348281621933,2280,0.0063469997,0.0005030658074247185
471040,200.0,1101,230,-180.19515894,427,0.0003,0.2,-0.3575273621827364,6.651843492314219,0.06279296875,0.7854003310203552,0.991769633255899,0.3477258086204529,2290,0.0072326236,-0.0022077518180594778
473088,200.0,1100,231,-174.298378,429,0.0003,0.2,-0.36200067549943926,6.2579259716207165,0.054541015625,4.399218559265137,0.9878097642213106,0.3463588356971741,2300,0.008827899,0.0011780417939007749
475136,200.0,1100,232,-172.63029960000003,431,0.0003,0.2,-0.36465926840901375,0.7881307601113804,0.124609375,0.08813128620386124,0.993291512131691,0.3519584536552429,2310,0.029708525,0.012436539065674879
477184,200.0,1099,233,-181.26423480000003,434,0.0003,0.2,-0.3786229286342859,11.19905684236437,0.05634765625,1.6002565622329712,0.9860057374462485,0.354135662317276,2320,0.002078723,-0.0009622192916140193
479232,200.0,1098,234,-179.82733639999998,436,0.0003,0.2,-0.37947539873421193,13.77285741972737,0.120361328125,1.2761796712875366,0.9920931784436107,0.3536549210548401,2330,0.005644991,-0.0006258224722841988
481280,200.0,1098,235,-180.62417620000005,438,0.0003,0.2,-0.3802113961428404,1.6344215651741252,0.09609375,0.3418467044830322,0.998382086516358,0.3544309139251709,2340,0.0073904516,-0.0034042055885947775
483328,200.0,1097,236,-176.82236799000003,440,0.0003,0.2,-0.37621582485735416,4.300339678814635,0.102197265625,0.9117940068244934,0.9937319164164364,0.3500177562236786,2350,0.008612811,-0.0009217987419106067
485376,200.0,1097,237,-171.83994106000003,442,0.0003,0.2,-0.37026392854750156,20.02736657317728,0.07529296875,18.914196014404297,0.9712409917265177,0.3510429263114929,2360,0.009009912,-0.0048599036399537
487424,200.0,1096,238,-177.79709287000003,444,0.0003,0.2,-0.3623319912701845,1.6007026514271274,0.186767578125,0.2346937358379364,0.9823695439845324,0.3441583514213562,2370,0.006833456,0.004306001761869993
489472,200.0,1096,239,-174.57966800000003,446,0.0003,0.2,-0.3545390073210001,6.381183212902397,0.073876953125,1.0312501192092896,0.9927076529711485,0.34773731231689453,2380,0.011482597,0.0022844856779556722
491520,200.0,1096,240,-172.12214882999996,448,0.0003,0.2,-0.36268807873129844,0.4947884223074652,0.11142578125,0.12997488677501678,0.9993168079527095,0.3457775115966797,2390,0.011792323,0.001054783425934147
493568,200.0,1096,241,-171.19929981,450,0.0003,0.2,-0.35879806615412235,0.672975682024844,0.115625,0.20941102504730225,0.9974751994013786,0.34566232562065125,2400,0.023794381,0.0017085990504710935
495616,200.0,1096,242,-171.99709572,452,0.0003,0.2,-0.3547334250062704,14.94575123861432,0.055615234375,10.434759140014648,0.9749050717800856,0.34521061182022095,2410,0.006072089,-0.002147792241885327
497664,200.0,1095,243,-169.57750395000002,454,0.0003,0.2,-0.36099623031914235,1.827720529283397,0.114208984375,0.2836165428161621,0.994820692576468,0.3496955335140228,2420,0.009953039,0.0012490708497352899
499712,200.0,1095,244,-169.21591747000002,456,0.0003,0.2,-0.36255143098533155,5.917748614843004,0.076171875,2.334373950958252,0.9816413931548595,0.34541627764701843,2430,0.005522303,-0.002923229109728709
501760,200.0,1095,245,-166.47949984000002,457,0.0003,0.2,-0.35568673238158227,25.651894265785813,0.0384765625,20.750621795654297,0.975544661283493,0.34527724981307983,2440,0.002070133,-0.004828172030829592
503808,200.0,1095,246,-168.98914999999997,459,0.0003,0.2,-0.3524220995604992,4.625356384646148,0.07265625,5.135611057281494,0.9943455751053989,0.34313809871673584,2450,0.00671559,0.0024139544348145137
505856,200.0,1095,247,-176.12295851999997,461,0.0003,0.2,-0.3543044779449701,4.008498691761633,0.1068359375,0.2510395050048828,0.9940038779750466,0.3469104766845703,2460,0.023348186,-0.0005677444663888309
507904,200.0,1095,248,-174.05505408000002,463,0.0003,0.2,-0.3514313708990812,5.0700597907183695,0.10185546875,0.11817927658557892,0.9920959724113345,0.3403613865375519,2470,0.010534013,0.0020020437601488083
509952,200.0,1095,249,-171.06926013000003,465,0.0003,0.2,-0.33488969057798385,0.9076142140780575,0.171533203125,0.08437568694353104,0.996877137105912,0.3340044617652893,2480,0.014403432,0.005246621924743522
512000,200.0,1095,250,-181.97581173999998,467,0.0003,0.2,-0.3202125921845436,0.8069975882506697,0.14189453125,0.10611138492822647,0.9985787916230038,0.33093708753585815,2490,0.01655892,-0.0006595895647478756
